p0,p1,p2,c,radius,mass
0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,1.050000000000000044e+00,1.229166666666666785e+01,2.333684742482704751e+05
1.000000000000000056e-01,7.500000000000000000e-01,1.499999999999999944e-01,1.050000000000000044e+00,1.229166666666666785e+01,2.333684742482704751e+05
2.000000000000000111e-01,5.500000000000000444e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.270833333333333393e+01,2.579144394185709243e+05
2.999999999999999889e-01,3.499999999999999778e-01,3.499999999999999778e-01,1.049999999999999822e+00,1.229166666666666785e+01,2.333684742482704751e+05
0.000000000000000000e+00,9.000000000000000222e-01,1.000000000000000056e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
1.000000000000000056e-01,6.999999999999999556e-01,2.000000000000000111e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
2.000000000000000111e-01,5.000000000000000000e-01,2.999999999999999889e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
2.999999999999999889e-01,2.999999999999999889e-01,4.000000000000000222e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
0.000000000000000000e+00,8.499999999999999778e-01,1.499999999999999944e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
1.000000000000000056e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
2.000000000000000111e-01,4.500000000000000111e-01,3.499999999999999778e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
2.999999999999999889e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
0.000000000000000000e+00,8.000000000000000444e-01,2.000000000000000111e-01,1.200000000000000178e+00,5.312500000000000000e+00,1.884111902720538637e+04
1.000000000000000056e-01,5.999999999999999778e-01,2.999999999999999889e-01,1.199999999999999956e+00,5.312500000000000000e+00,1.884111902720538637e+04
2.000000000000000111e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.200000000000000178e+00,5.312500000000000000e+00,1.884111902720538637e+04
2.999999999999999889e-01,2.000000000000000111e-01,5.000000000000000000e-01,1.199999999999999956e+00,5.312500000000000000e+00,1.884111902720538637e+04
0.000000000000000000e+00,6.999999999999999556e-01,2.999999999999999889e-01,1.299999999999999822e+00,4.010416666666666963e+00,8.105472812914301358e+03
1.000000000000000056e-01,5.000000000000000000e-01,4.000000000000000222e-01,1.300000000000000044e+00,4.114583333333333925e+00,8.753615204610519868e+03
2.000000000000000111e-01,2.999999999999999889e-01,5.000000000000000000e-01,1.300000000000000044e+00,4.114583333333333925e+00,8.753615204610519868e+03
2.999999999999999889e-01,1.000000000000000056e-01,5.999999999999999778e-01,1.300000000000000044e+00,4.114583333333333925e+00,8.753615204610519868e+03
0.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000222e-01,1.399999999999999911e+00,3.281250000000000000e+00,4.439436273940287720e+03
1.000000000000000056e-01,4.000000000000000222e-01,5.000000000000000000e-01,1.399999999999999911e+00,3.281250000000000000e+00,4.439436273940287720e+03
2.000000000000000111e-01,2.000000000000000111e-01,5.999999999999999778e-01,1.399999999999999911e+00,3.385416666666666963e+00,4.875804095753405818e+03
2.999999999999999889e-01,0.000000000000000000e+00,6.999999999999999556e-01,1.399999999999999911e+00,3.385416666666666963e+00,4.875804095753405818e+03
0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,1.500000000000000000e+00,2.864583333333333481e+00,2.953889509079555410e+03
1.000000000000000056e-01,2.999999999999999889e-01,5.999999999999999778e-01,1.500000000000000000e+00,2.864583333333333481e+00,2.953889509079555410e+03
2.000000000000000111e-01,1.000000000000000056e-01,6.999999999999999556e-01,1.500000000000000000e+00,2.864583333333333481e+00,2.953889509079555410e+03
0.000000000000000000e+00,4.000000000000000222e-01,5.999999999999999778e-01,1.600000000000000089e+00,2.447916666666666963e+00,1.843315825701978838e+03
1.000000000000000056e-01,2.000000000000000111e-01,6.999999999999999556e-01,1.599999999999999867e+00,2.447916666666666963e+00,1.843315825701978838e+03
2.000000000000000111e-01,0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.447916666666666963e+00,1.843315825701978838e+03
0.000000000000000000e+00,2.000000000000000111e-01,8.000000000000000444e-01,1.800000000000000044e+00,1.953125000000000000e+00,9.362675707309820154e+02
1.000000000000000056e-01,0.000000000000000000e+00,9.000000000000000222e-01,1.800000000000000044e+00,2.005208333333333481e+00,1.013184101614287670e+03
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.640625000000000000e+00,5.549295342425359649e+02
