density,radius,mass
1.000000000000000000e+01,2.468750000000000000e+01,6.302602947319571394e+05
1.900000000000000000e+01,1.299342105263157876e+01,1.745873392609299626e+05
2.800000000000000000e+01,8.816964285714284699e+00,8.039034371581082814e+04
3.700000000000000000e+01,6.672297297297298257e+00,4.603800545887197222e+04
4.600000000000000000e+01,5.366847826086956985e+00,2.978545816313597606e+04
5.500000000000000000e+01,4.488636363636363313e+00,2.083505106551924109e+04
6.400000000000000000e+01,3.857421875000000000e+00,1.538721422685442303e+04
7.300000000000000000e+01,3.381849315068492512e+00,1.182698995556308364e+04
8.200000000000000000e+01,3.010670731707317138e+00,9.373294091789965023e+03
9.100000000000000000e+01,2.815934065934065700e+00,8.511330345116632088e+03
1.000000000000000000e+02,2.562500000000000000e+00,7.048232658791084759e+03
