p0,p1,p2,c,radius,mass
1.000000000000000056e-01,7.500000000000000000e-01,1.499999999999999944e-01,1.050000000000000044e+00,1.229166666666666785e+01,2.333684742482704751e+05
1.000000000000000056e-01,6.999999999999999556e-01,2.000000000000000111e-01,1.100000000000000089e+00,8.020833333333333925e+00,6.484378250331441086e+04
1.000000000000000056e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
2.000000000000000111e-01,5.500000000000000444e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.229166666666666785e+01,2.333684742482704751e+05
2.000000000000000111e-01,5.000000000000000000e-01,2.999999999999999889e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
2.000000000000000111e-01,4.500000000000000111e-01,3.499999999999999778e-01,1.149999999999999911e+00,6.562500000000000000e+00,3.551549019152230176e+04
2.999999999999999889e-01,3.499999999999999778e-01,2.999999999999999889e-01,9.499999999999999556e-01,nan,nan
2.999999999999999889e-01,2.999999999999999889e-01,4.000000000000000222e-01,1.100000000000000089e+00,8.229166666666667851e+00,7.002892163688415894e+04
2.999999999999999889e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.149999999999999911e+00,6.354166666666666963e+00,3.223930492732136554e+04
2.000000000000000111e-01,4.699999999999999734e-01,3.300000000000000155e-01,1.129999999999999893e+00,6.979166666666666963e+00,4.271895034322676656e+04
2.000000000000000111e-01,4.899999999999999911e-01,3.099999999999999978e-01,1.109999999999999876e+00,8.020833333333333925e+00,6.484378250331441086e+04
2.000000000000000111e-01,5.100000000000000089e-01,2.899999999999999800e-01,1.089999999999999858e+00,8.958333333333333925e+00,9.034237814994348446e+04
2.000000000000000111e-01,5.300000000000000266e-01,2.700000000000000178e-01,1.070000000000000062e+00,1.020833333333333393e+01,1.336824486770057993e+05
